web-scraper-order,web-scraper-start-url,sequences,sequences-href
"1663256040-2234","http://www.allergenonline.org/databasebrowse.shtml","118638268","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=118638268"
"1663256040-2235","http://www.allergenonline.org/databasebrowse.shtml","118638278","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=118638278"
"1663256040-2236","http://www.allergenonline.org/databasebrowse.shtml","441482362","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=441482362"
"1663256040-2237","http://www.allergenonline.org/databasebrowse.shtml","441482364","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=441482364"
"1663256040-2238","http://www.allergenonline.org/databasebrowse.shtml","441482366","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=441482366"
"1663256040-2239","http://www.allergenonline.org/databasebrowse.shtml","190358935","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=190358935"
"1663256040-2240","http://www.allergenonline.org/databasebrowse.shtml","1373811525","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=1373811525"
"1663256040-2241","http://www.allergenonline.org/databasebrowse.shtml","378548410","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=378548410"
"1663256040-2242","http://www.allergenonline.org/databasebrowse.shtml","441482354","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=441482354"
"1663256040-2243","http://www.allergenonline.org/databasebrowse.shtml","281552896","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=281552896"
"1663256040-2244","http://www.allergenonline.org/databasebrowse.shtml","82469930","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=82469930"
"1663256040-2245","http://www.allergenonline.org/databasebrowse.shtml","68064399","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=68064399"
"1663256040-2246","http://www.allergenonline.org/databasebrowse.shtml","441482370","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=441482370"
